Colour wheel
Contrast
Repetition
Alignment
Proximity
Social validation
Reciprocity
Scarcity
Simplified choices
Colour psychology
Thumbnail
Wireframe
Prototype
Card sort
Tree testing
First click
Interview
Accessibility
Discussion group
Surveys
